genre,popularity,acousticness,danceability,energy,valence,tempo,duration_ms
Rap,63,0.115,0.609,0.746,0.277,117.072,256587
Classical,25,0.991,0.386,0.184,0.611,140.532,224147
Electronic,27,0.00364,0.368,0.953,0.237,74.928,217600
Movie,30,0.325,0.824,0.782,0.964,144.493,154840
R&B,44,0.000238,0.617,0.575,0.278,72.188,245600
Ska,23,0.000195,0.22,0.966,0.595,194.182,83293
Alternative,59,0.0122,0.363,0.906,0.371,181.964,231200
Reggaeton,57,0.111,0.767,0.758,0.84,76.498,256757
Alternative,55,0.000123,0.336,0.951,0.596,108.043,237480
Hip-Hop,51,0.0677,0.81,0.614,0.431,87.03,232947
Pop,67,0.192,0.67,0.672,0.643,165.075,162538
Hip-Hop,58,0.0246,0.824,0.747,0.498,149.018,177872
Ska,34,0.13,0.851,0.587,0.763,108.164,217427
Jazz,40,0.138,0.694,0.598,0.962,108.633,515840
World,27,0.501,0.245,0.467,0.0367,127.494,391400
Dance,58,0.211,0.748,0.406,0.386,79.988,158062
Anime,22,0.784,0.703,0.327,0.848,108.446,241440
Hip-Hop,49,0.0407,0.681,0.57,0.153,135.121,304200
Rap,70,0.0381,0.708,0.612,0.263,139.913,229013
Opera,10,0.933,0.129,0.0557,0.0389,63.827,162000
Blues,31,0.357,0.692,0.628,0.774,137.065,164187
Dance,62,0.537,0.388,0.612,0.387,75.618,196907
Opera,12,0.952,0.461,0.107,0.23,113.12,177693
Ska,25,0.05,0.648,0.976,0.328,98.881,193440
Alternative,60,0.579,0.733,0.474,0.328,102.976,214578
Pop,65,0.267,0.732,0.629,0.683,91.7,172751
Ska,16,0.218,0.365,0.869,0.45,82.884,105587
Indie,44,0.652,0.502,0.582,0.412,168.054,235027
Rap,86,0.000282,0.908,0.621,0.421,150.011,177000
Pop,62,0.0042,0.907,0.625,0.605,99.918,163133
Classical,0,0.953,0.0845,0.0282,0.0389,169.151,397253
Comedy,17,0.894,0.484,0.904,0.175,107.678,102440
Reggaeton,38,0.25,0.635,0.768,0.573,166.009,247067
Electronic,35,0.0307,0.34,0.819,0.114,190.012,333700
Hip-Hop,53,0.278,0.62,0.643,0.15,155.894,147699
Electronic,38,2.66e-05,0.703,0.58,0.968,154.653,245093
Blues,31,0.696,0.286,0.806,0.109,83.393,218867
Blues,64,0.795,0.631,0.354,0.522,73.007,188693
Children’s Music,50,0.00585,0.502,0.591,0.169,81.782,250533
Electronic,47,0.337,0.635,0.784,0.31,95.011,306840
Opera,32,0.962,0.322,0.201,0.0871,84.029,471933
Alternative,57,0.0884,0.66,0.689,0.427,127.98,221075
Reggae,38,0.0253,0.811,0.47,0.493,85.061,187800
Hip-Hop,58,0.0408,0.809,0.801,0.744,81.94,201960
Soul,52,0.407,0.644,0.655,0.397,80.925,217537
Country,54,0.00481,0.687,0.729,0.259,140.004,371398
Opera,25,0.926,0.398,0.188,0.191,102.45,183793
Folk,56,0.964,0.373,0.114,0.173,127.545,214787
World,24,0.00609,0.228,0.625,0.115,169.826,301053
Children's Music,0,0.932,0.771,0.351,0.497,133.953,199973
Soul,43,0.272,0.664,0.37,0.209,94.037,238867
Pop,76,0.144,0.747,0.569,0.167,157.056,214642
World,47,0.055,0.587,0.732,0.747,96.848,202240
Dance,55,0.151,0.72,0.867,0.525,123.959,167367
Hip-Hop,51,0.011,0.546,0.695,0.182,79.932,219840
Electronic,21,0.875,0.389,0.361,0.237,113.507,292196
Alternative,49,0.000361,0.618,0.956,0.487,97.993,240704
Soundtrack,38,0.845,0.191,0.265,0.0539,124.151,368960
Soul,46,0.053,0.776,0.54,0.703,93.001,172333
World,28,0.0072,0.654,0.732,0.443,80.004,251504
Children’s Music,52,0.00101,0.565,0.905,0.684,126.011,213853
Folk,56,0.519,0.612,0.409,0.698,78.969,176632
Rap,77,0.0201,0.768,0.471,0.405,131.023,267427
Pop,56,0.475,0.544,0.397,0.682,109.916,171868
Hip-Hop,59,0.172,0.647,0.673,0.527,179.971,224000
Folk,39,0.461,0.587,0.46,0.806,88.057,181926
Rock,61,0.532,0.686,0.622,0.982,163.245,144187
Reggae,29,0.0108,0.532,0.523,0.379,174.041,237293
Ska,16,0.0255,0.468,0.915,0.851,180.368,199000
Children’s Music,62,0.0291,0.452,0.81,0.439,167.143,181733
Children’s Music,46,0.179,0.514,0.36,0.27,80.53,223840
Rock,57,0.00123,0.599,0.853,0.676,94.997,204507
